"T","blastomere","gini","tree"
10.1787856,"A",0.722262814630815,"sensitivity_58-42"
10.1787856,"B",0.700269355157738,"sensitivity_58-42"
10.311235,"A",0.725949709452294,"sensitivity_58-42"
10.311235,"B",0.705042895081429,"sensitivity_58-42"
10.4436844,"A",0.729269404594899,"sensitivity_58-42"
10.4436844,"B",0.709172364929282,"sensitivity_58-42"
10.5761338,"A",0.732304688683469,"sensitivity_58-42"
10.5761338,"B",0.713175866077796,"sensitivity_58-42"
10.7085832,"A",0.735625969230437,"sensitivity_58-42"
10.7085832,"B",0.717158764649862,"sensitivity_58-42"
10.8410326,"A",0.738690509836853,"sensitivity_58-42"
10.8410326,"B",0.72096947477349,"sensitivity_58-42"
10.973482,"A",0.74175195189694,"sensitivity_58-42"
10.973482,"B",0.725092001180012,"sensitivity_58-42"
11.1059314,"A",0.744498872361941,"sensitivity_58-42"
11.1059314,"B",0.728762697232082,"sensitivity_58-42"
11.2383808,"A",0.747480567871729,"sensitivity_58-42"
11.2383808,"B",0.732634995162274,"sensitivity_58-42"
11.3708302,"A",0.750063139509726,"sensitivity_58-42"
11.3708302,"B",0.73614229482447,"sensitivity_58-42"
11.5032796,"A",0.752678388734494,"sensitivity_58-42"
11.5032796,"B",0.739493969876259,"sensitivity_58-42"
11.635729,"A",0.755143866625062,"sensitivity_58-42"
11.635729,"B",0.742645754915641,"sensitivity_58-42"
11.7681784,"A",0.757498724240511,"sensitivity_58-42"
11.7681784,"B",0.745860203508948,"sensitivity_58-42"
11.9006278,"A",0.760128935115952,"sensitivity_58-42"
11.9006278,"B",0.748926143763435,"sensitivity_58-42"
12.0330772,"A",0.762492206957996,"sensitivity_58-42"
12.0330772,"B",0.751599713269714,"sensitivity_58-42"
12.1655266,"A",0.764667574065852,"sensitivity_58-42"
12.1655266,"B",0.754234532835678,"sensitivity_58-42"
12.297976,"A",0.766761557415915,"sensitivity_58-42"
12.297976,"B",0.756619922216044,"sensitivity_58-42"
12.4304254,"A",0.768712741596303,"sensitivity_58-42"
12.4304254,"B",0.759048966546283,"sensitivity_58-42"
12.5628748,"A",0.770461963640553,"sensitivity_58-42"
12.5628748,"B",0.761398769280763,"sensitivity_58-42"
12.6953242,"A",0.772426932537401,"sensitivity_58-42"
12.6953242,"B",0.76359185658238,"sensitivity_58-42"
12.8277736,"A",0.774428474372867,"sensitivity_58-42"
12.8277736,"B",0.765728521434493,"sensitivity_58-42"
12.960223,"A",0.776718193462091,"sensitivity_58-42"
12.960223,"B",0.768037973698717,"sensitivity_58-42"
13.0926724,"A",0.779124857237976,"sensitivity_58-42"
13.0926724,"B",0.770504149100706,"sensitivity_58-42"
13.2251218,"A",0.781427008533966,"sensitivity_58-42"
13.2251218,"B",0.772582710718342,"sensitivity_58-42"
13.3575712,"A",0.784055313737588,"sensitivity_58-42"
13.3575712,"B",0.774976319875753,"sensitivity_58-42"
13.4900206,"A",0.786063966419602,"sensitivity_58-42"
13.4900206,"B",0.776835047902326,"sensitivity_58-42"
