"blastomere","gini","blast"
"B1",0.494595085811782,"Blastomere A"
"B1",0.492133989595722,"Blastomere A"
"B1",0.494054733449779,"Blastomere A"
"B1",0.496079680633078,"Blastomere A"
"B1",0.500599390182201,"Blastomere A"
"B1",0.496273513031542,"Blastomere A"
"B1",0.514481997431155,"Blastomere A"
"B1",0.494128808871483,"Blastomere A"
"B1",0.486814305141483,"Blastomere A"
"B1",0.49941536742522,"Blastomere A"
"B1",0.500316313955728,"Blastomere A"
"B1",0.500945536004392,"Blastomere A"
"B1",0.495435134098543,"Blastomere A"
"B1",0.491574385340573,"Blastomere A"
"B1",0.506121185102191,"Blastomere A"
"B1",0.503441367096,"Blastomere A"
"B1",0.503812933780705,"Blastomere A"
"B1",0.502907312836025,"Blastomere A"
"B1",0.493555356491158,"Blastomere A"
"B1",0.494233252738607,"Blastomere A"
"B1",0.50272095949473,"Blastomere A"
"B1",0.482202863095504,"Blastomere A"
"B1",0.495291643303987,"Blastomere A"
"B1",0.499979986009951,"Blastomere A"
"B1",0.489085507337747,"Blastomere A"
"B1",0.491108176263117,"Blastomere A"
"B1",0.504984049511987,"Blastomere A"
"B1",0.485073928178633,"Blastomere A"
"B1",0.493401853664753,"Blastomere A"
"B1",0.507613921951005,"Blastomere A"
"B1",0.499115220613275,"Blastomere A"
"B1",0.506597292017831,"Blastomere A"
"B1",0.508907678387956,"Blastomere A"
"B1",0.501683978573712,"Blastomere A"
"B1",0.505064975414364,"Blastomere A"
"B1",0.496615966972618,"Blastomere A"
"B1",0.497631839676671,"Blastomere A"
"B1",0.504126593601442,"Blastomere A"
"B1",0.502732167294956,"Blastomere A"
"B1",0.503231942962501,"Blastomere A"
"B1",0.509482678638876,"Blastomere A"
"B1",0.498625354109748,"Blastomere A"
"B1",0.502706848782418,"Blastomere A"
"B1",0.49623323887769,"Blastomere A"
"B1",0.500030295547095,"Blastomere A"
"B1",0.480471706789778,"Blastomere A"
"B1",0.497720623778219,"Blastomere A"
"B1",0.509443065590202,"Blastomere A"
"B1",0.509717799671673,"Blastomere A"
"B1",0.489611761467873,"Blastomere A"
"B1",0.494245050694207,"Blastomere A"
"B1",0.495790925156243,"Blastomere A"
"B1",0.503806055717724,"Blastomere A"
"B1",0.500601456040187,"Blastomere A"
"B1",0.495967192259038,"Blastomere A"
"B1",0.501164192133686,"Blastomere A"
"B1",0.494437802929883,"Blastomere A"
"B1",0.495823710757042,"Blastomere A"
"B1",0.503627278851414,"Blastomere A"
"B1",0.4967773585781,"Blastomere A"
"B1",0.494835213259457,"Blastomere A"
"B1",0.505664943160346,"Blastomere A"
"B1",0.495295532412575,"Blastomere A"
"B1",0.494613134473796,"Blastomere A"
"B1",0.504295314283004,"Blastomere A"
"B1",0.508964556241668,"Blastomere A"
"B1",0.497665379721261,"Blastomere A"
"B1",0.493999581993148,"Blastomere A"
"B1",0.491949436343193,"Blastomere A"
"B1",0.490656664786801,"Blastomere A"
"B1",0.500895384740642,"Blastomere A"
"B1",0.49751472691416,"Blastomere A"
"B1",0.495264593181805,"Blastomere A"
"B1",0.496269361118197,"Blastomere A"
"B1",0.510625862872839,"Blastomere A"
"B1",0.503500080805219,"Blastomere A"
"B1",0.507768962005026,"Blastomere A"
"B1",0.495276980906535,"Blastomere A"
"B1",0.504409421830531,"Blastomere A"
"B1",0.49036666421573,"Blastomere A"
"B1",0.489530823453886,"Blastomere A"
"B1",0.50282539935144,"Blastomere A"
"B1",0.498384044098819,"Blastomere A"
"B1",0.489815816458445,"Blastomere A"
"B1",0.505804311430304,"Blastomere A"
"B1",0.500371353076827,"Blastomere A"
"B1",0.502555956081253,"Blastomere A"
"B1",0.497913050844474,"Blastomere A"
"B1",0.498003482002272,"Blastomere A"
"B1",0.501624921497472,"Blastomere A"
"B1",0.509414215816613,"Blastomere A"
"B1",0.504417449476089,"Blastomere A"
"B1",0.49853503746857,"Blastomere A"
"B1",0.4988627960685,"Blastomere A"
"B1",0.498887430315357,"Blastomere A"
"B1",0.498149299752589,"Blastomere A"
"B1",0.501397861440051,"Blastomere A"
"B1",0.50775124696147,"Blastomere A"
"B1",0.497339455788813,"Blastomere A"
"B1",0.504495801785544,"Blastomere A"
"B1",0.498993868356748,"Blastomere A"
"B1",0.502865248663255,"Blastomere A"
"B1",0.49433265396864,"Blastomere A"
"B1",0.490667868163494,"Blastomere A"
"B1",0.505302113331243,"Blastomere A"
"B1",0.502110428623238,"Blastomere A"
"B1",0.504458703861483,"Blastomere A"
"B1",0.501793512342722,"Blastomere A"
"B1",0.490850648458573,"Blastomere A"
"B1",0.492884957326492,"Blastomere A"
"B1",0.497245121384975,"Blastomere A"
"B1",0.492627468102451,"Blastomere A"
"B1",0.499357505775376,"Blastomere A"
"B1",0.491444195178659,"Blastomere A"
"B1",0.485699060224279,"Blastomere A"
"B1",0.499181135972161,"Blastomere A"
"B1",0.502803251965673,"Blastomere A"
"B1",0.505119821397355,"Blastomere A"
"B1",0.500344475705009,"Blastomere A"
"B1",0.498454837107513,"Blastomere A"
"B1",0.49943678005477,"Blastomere A"
"B1",0.50329199068248,"Blastomere A"
"B1",0.49564709015373,"Blastomere A"
"B1",0.500528832919365,"Blastomere A"
"B1",0.505456258717792,"Blastomere A"
"B1",0.499450218779326,"Blastomere A"
"B1",0.506453285341028,"Blastomere A"
"B1",0.501742678383191,"Blastomere A"
"B1",0.497710146501812,"Blastomere A"
"B1",0.490281583682378,"Blastomere A"
"B1",0.491170636055227,"Blastomere A"
"B1",0.497527267583457,"Blastomere A"
"B1",0.502799030880178,"Blastomere A"
"B1",0.500673512450599,"Blastomere A"
"B1",0.498815326102008,"Blastomere A"
"B1",0.501137675192025,"Blastomere A"
"B1",0.495452755350261,"Blastomere A"
"B1",0.497122112720358,"Blastomere A"
"B1",0.506743478587358,"Blastomere A"
"B1",0.497611169196033,"Blastomere A"
"B1",0.506302180985799,"Blastomere A"
"B1",0.492033169689854,"Blastomere A"
"B1",0.506421946968926,"Blastomere A"
"B1",0.50367612489063,"Blastomere A"
"B1",0.490179873104127,"Blastomere A"
"B1",0.50644824734426,"Blastomere A"
"B1",0.502044873178607,"Blastomere A"
"B1",0.492130992302859,"Blastomere A"
"B1",0.503799806425957,"Blastomere A"
"B1",0.500458550341497,"Blastomere A"
"B1",0.498996423603728,"Blastomere A"
"B1",0.494845459330225,"Blastomere A"
"B1",0.492805601506181,"Blastomere A"
"B1",0.498655078528252,"Blastomere A"
"B1",0.512851219077489,"Blastomere A"
