progenitor,postmitotic,n_cells_A,fold_A,q_A,n_cells_B,fold_B,q_B,tested_in_both,captured
Dermatome,Neural crest (PNS neurons),21,0.54,1.000e+00,10,0.62,1.000e+00,1,0
Neural progenitor cells (Neurod1+),Glutamatergic neurons,28,0.58,1.000e+00,14,0.51,1.000e+00,1,0
Spinal cord/r7/r8,Deep-layer neurons,60,0.58,1.000e+00,22,0.49,1.000e+00,1,0
Pre-epidermal keratinocytes,Parasympathetic neurons,,,,,,,0,0
Lung progenitor cells,Cajal-Retzius cells,5,0.59,1.000e+00,3,0.54,1.000e+00,1,0
Anterior roof plate,GABAergic cortical interneurons,3,0.49,1.000e+00,,,,0,0
Dorsal telencephalon,GABAergic neurons,22,0.46,1.000e+00,15,0.77,1.000e+00,1,0
Lateral plate and intermediate mesoderm,Granular keratinocytes,36,0.58,1.000e+00,12,0.47,1.000e+00,1,0
Arterial endothelial cells,Glutamatergic neurons,4,0.63,1.000e+00,,,,0,0
Myelinating Schwann cells (Tgfb2+),GABAergic neurons,16,0.65,1.000e+00,3,0.34,1.000e+00,1,0
Endothelium,Glutamatergic neurons,145,0.51,1.000e+00,83,0.59,1.000e+00,1,0
Facial mesenchyme,Spinal cord motor neurons,7,0.52,1.000e+00,4,0.62,1.000e+00,1,0
Endothelium,GABAergic neurons,79,0.55,1.000e+00,35,0.51,1.000e+00,1,0
Early chondrocytes,GABAergic neurons,286,0.57,1.000e+00,95,0.44,1.000e+00,1,0
Sclerotome,Granular keratinocytes,28,0.53,1.000e+00,12,0.55,1.000e+00,1,0
Endothelium,Cerebellar Purkinje cells,15,0.53,1.000e+00,8,0.58,1.000e+00,1,0
Facial mesenchyme,Cerebellar Purkinje cells,70,0.6,1.000e+00,24,0.41,1.000e+00,1,0
Anterior floor plate,GABAergic neurons,13,0.67,1.000e+00,,,,0,0
Facial mesenchyme,GABAergic neurons,317,0.55,1.000e+00,143,0.5,1.000e+00,1,0
Arterial endothelial cells,GABAergic cortical interneurons,,,,3,1.21,1.000e+00,0,0
Limb mesenchyme progenitors,Granular keratinocytes,19,0.52,1.000e+00,9,0.58,1.000e+00,1,0
Spinal cord ventral progenitors,Deep-layer neurons,4,0.65,1.000e+00,,,,0,0
