"blastomere","node","support"
"B1",412157,5
"B1",412158,1
"B1",412159,2
"B1",412160,0
"B1",412161,2
"B1",412162,0
"B1",412163,1
"B1",412164,2
"B1",412165,2
"B1",412166,3
"B1",412167,1
"B1",412168,4
"B1",412169,1
"B1",412170,2
"B1",412171,0
"B1",412172,0
"B1",412173,6
"B1",412174,8
"B1",412175,7
"B1",412176,0
"B1",412177,0
"B1",412178,4
"B1",412179,3
"B1",412180,0
"B1",412181,6
"B1",412182,4
"B1",412183,0
"B1",412184,7
"B1",412185,3
"B1",412186,3
"B1",412187,1
"B1",412188,3
"B1",412189,1
"B1",412190,0
"B1",412191,11
"B1",412192,8
"B1",412193,1
"B1",412194,2
"B1",412195,7
"B1",412196,5
"B1",412197,8
"B1",412198,6
"B1",412199,1
"B1",412200,0
"B1",412201,4
"B1",412202,5
"B1",412203,9
"B1",412204,4
"B1",412205,5
"B1",412206,6
"B1",412207,8
"B1",412208,7
"B1",412209,2
"B1",412210,0
"B1",412211,0
"B1",412212,2
"B1",412213,6
"B1",412214,2
"B1",412215,9
"B1",412216,1
"B1",412217,3
"B1",412218,2
"B1",412219,6
"B1",412220,1
"B1",412221,0
"B1",412222,1
"B1",412223,0
"B1",412224,2
"B1",412225,0
"B1",412226,9
"B1",412227,4
"B1",412228,1
"B1",412229,4
"B1",412230,4
"B1",412231,4
"B1",412232,0
"B1",412233,5
"B1",412234,12
"B1",412235,5
"B1",412236,8
"B1",412237,6
"B1",412238,3
"B1",412239,5
"B1",412240,3
"B1",412241,6
"B1",412242,4
"B1",412243,3
"B1",412244,4
"B1",412245,12
"B1",412246,7
"B1",412247,6
"B1",412248,2
"B1",412249,10
"B1",412250,6
"B1",412251,7
"B1",412252,3
"B1",412253,4
"B1",412254,5
"B1",412255,0
"B1",412256,5
"B1",412257,6
"B1",412258,6
"B1",412259,7
"B1",412260,2
"B1",412261,1
"B1",412262,6
"B1",412263,3
"B1",412264,3
"B1",412265,3
"B1",412266,5
"B1",412267,3
"B1",412268,12
"B1",412269,4
"B1",412270,19
"B1",412271,3
"B1",412272,7
"B1",412273,4
"B1",412274,0
"B1",412275,15
"B1",412276,16
"B1",412277,2
"B1",412278,0
"B1",412279,1
"B1",412280,4
"B1",412281,1
"B1",412282,6
"B1",412283,6
"B1",412284,6
"B1",412285,1
"B1",412286,0
"B1",412287,7
"B1",412288,3
"B1",412289,6
"B1",412290,0
"B1",412291,12
"B1",412292,8
"B1",412293,7
"B1",412294,12
"B1",412295,14
"B1",412296,6
"B1",412297,4
"B1",412298,3
"B1",412299,1
"B1",412300,5
"B1",412301,15
"B1",412302,15
"B1",412303,4
"B1",412304,6
"B1",412305,5
"B1",412306,1
"B1",412307,3
"B1",412308,14
"B1",412309,1
"B1",412310,0
"B1",412311,3
"B1",412312,6
"B1",412313,14
"B1",412314,15
"B1",412315,12
"B1",412316,5
"B1",412317,8
"B1",412318,12
"B1",412319,11
"B1",412320,10
"B1",412321,10
"B1",412322,0
"B1",412323,4
"B1",412324,0
"B1",412325,5
"B1",412326,3
"B1",412327,2
"B1",412328,1
"B1",412329,3
"B1",412330,0
"B1",412331,3
"B1",412332,4
"B1",412333,6
"B1",412334,13
"B1",412335,8
"B1",412336,9
"B1",412337,0
"B1",412338,0
"B1",412339,0
"B1",412340,0
"B1",412341,0
"B1",412342,1
"B1",412343,10
"B1",412344,7
"B1",412345,0
"B1",412346,0
"B1",412347,2
"B1",412348,10
"B1",412349,11
"B1",412350,12
"B1",412351,7
"B1",412352,0
"B1",412353,2
"B1",412354,4
"B1",412355,3
"B1",412356,0
"B1",412357,0
"B1",412358,0
"B1",412359,1
"B1",412360,1
"B1",412361,6
"B1",412362,5
"B1",412363,7
"B1",412364,4
"B1",412365,2
"B1",412366,11
"B1",412367,9
"B1",412368,0
"B1",412369,2
"B1",412370,0
"B1",412371,2
"B1",412372,1
"B1",412373,3
"B1",412374,8
"B1",412375,7
"B1",412376,1
"B1",412377,3
"B1",412378,9
"B1",412379,9
"B1",412380,11
"B1",412381,12
"B1",412382,9
"B1",412383,2
"B1",412384,0
"B1",412385,6
"B1",412386,1
"B1",412387,13
"B1",412388,6
"B1",412389,6
"B1",412390,5
"B1",412391,6
"B1",412392,1
"B1",412393,3
"B1",412394,1
"B1",412395,7
"B1",412396,9
"B1",412397,1
"B1",412398,0
"B1",412399,7
"B1",412400,2
"B1",412401,1
"B1",412402,0
"B1",412403,2
"B1",412404,1
"B1",412405,10
"B1",412406,7
"B1",412407,4
"B1",412408,3
"B1",412409,6
"B1",412410,8
"B1",412411,0
"B1",412412,4
"B1",412413,4
"B1",412414,3
"B1",412415,1
"B1",412416,0
"B1",412417,2
"B1",412418,4
"B1",412419,5
"B1",412420,0
"B1",412421,4
"B1",412422,3
"B1",412423,0
"B1",412424,6
"B1",412425,4
"B1",412426,8
"B1",412427,0
"B1",412428,2
"B1",412429,1
"B1",412430,10
"B1",412431,2
"B1",412432,1
"B1",412433,3
"B1",412434,8
"B1",412435,4
"B1",412436,1
"B1",412437,3
"B1",412438,3
"B1",412439,1
"B1",412440,7
"B1",412441,2
"B1",412442,3
"B1",412443,5
"B1",412444,7
"B1",412445,1
"B1",412446,5
"B1",412447,4
"B1",412448,9
"B1",412449,0
"B1",412450,0
"B1",412451,6
"B1",412452,8
"B1",412453,8
"B1",412454,0
"B1",412455,3
"B1",412456,3
"B1",412457,1
"B1",412458,7
"B1",412459,0
"B1",412460,0
"B1",412461,15
"B1",412462,4
"B1",412463,1
"B1",412464,13
"B1",412465,1
"B1",412466,1
"B1",412467,16
"B1",412468,11
"B1",412469,16
"B1",412470,8
"B1",412471,3
"B1",412472,7
"B1",412473,3
"B1",412474,6
