celltype_1,celltype_2,category,log2_enr_A_K15,log2_enr_A_K200,log2_enr_B_K15,log2_enr_B_K200
Anterior roof plate,Olfactory bulb cells,neither,-1.0575,-1.9409,-0.6356,-1.0962
Anterior roof plate,Olfactory epithelial cells,neither,-1.1662,-2.3090,-0.9314,-1.7167
Anterior roof plate,Olfactory sensory neurons,neither,-1.8675,-2.8123,-0.9501,-2.0798
Anterior roof plate,Otic epithelial cells,neither,-1.3577,-1.6132,-1.4495,-0.7370
Anterior roof plate,Otic sensory neurons,neither,-0.7486,-2.1057,-1.0571,-0.1513
Anterior roof plate,Pancreatic acinar cells,neither,-0.3635,-2.2477,1.2692,-0.5118
Anterior roof plate,Parasympathetic neurons,neither,-1.2600,-0.6611,-0.9056,-0.7979
Anterior roof plate,Posterior roof plate,neither,-0.6267,-1.1223,0.6570,0.5605
Anterior roof plate,Pre-epidermal keratinocytes,neither,-1.0023,-1.3185,-1.0684,-0.6698
Anterior roof plate,Pre-osteoblasts (Sp7+),neither,-1.5055,-1.0338,0.3973,-0.6156
Anterior roof plate,Primitive erythroid cells,neither,-0.5494,0.1558,0.7354,0.0812
Anterior roof plate,Retinal ganglion cells,neither,-0.4177,-3.5299,0.8817,-0.6730
Anterior roof plate,Retinal pigment cells,neither,-0.3099,-1.1434,0.7073,0.5135
Anterior roof plate,Retinal progenitor cells,neither,-0.6838,-1.1697,0.4317,-0.3598
Anterior roof plate,Sclerotome,neither,-1.2151,-0.7820,-0.6918,-0.5368
Anterior roof plate,Spinal cord dorsal progenitors,neither,-0.4847,-0.5369,0.6932,0.3104
Anterior roof plate,Spinal cord motor neurons,neither,-1.8156,-1.0728,-0.0798,-0.8301
Anterior roof plate,Spinal cord ventral progenitors,neither,-1.0931,-0.7997,-0.6447,0.2417
Anterior roof plate,Spinal cord/r7/r8,neither,-0.9658,-0.8792,0.0137,-0.6588
Anterior roof plate,Sympathetic neurons,neither,-0.8812,-1.5604,-1.5973,-1.0563
Anterior roof plate,Telencephalon,neither,-1.4394,-0.7660,-0.8104,-0.4632
Anterior roof plate,Thalamic neuronal precursors,neither,-1.0158,-2.0856,-0.9853,-1.1373
Anterior roof plate,Ureteric bud,neither,-0.9838,-1.7667,-0.8072,-0.8116
Astrocytes,Border-associated macrophages,neither,-2.2431,-2.5504,-1.9338,-2.2559
Astrocytes,Brain capillary endothelial cells,neither,-0.9689,-1.1067,-0.8212,-0.6821
Astrocytes,Branchial arch epithelium,neither,-1.4515,-1.5309,-0.6762,-1.2365
Astrocytes,Cajal-Retzius cells,neither,-0.9005,-1.0949,-0.6687,-0.9463
Astrocytes,Cerebellar Purkinje cells,neither,-1.0228,-1.3622,-0.7934,-1.2924
Astrocytes,Chondrocytes (Atp1a2+),neither,-0.6015,-0.9480,-0.4938,-0.9037
Astrocytes,Choroid plexus,neither,-0.7216,-1.3282,-0.5745,-1.3305
Astrocytes,Cranial motor neurons,neither,0.1629,-0.5746,0.2892,-0.7280
Astrocytes,Deep-layer neurons,neither,-1.4590,-1.2483,-1.5246,-1.1249
Astrocytes,Definitive early erythroblasts (CD36-),neither,-3.0141,-1.7198,-3.0141,-1.6930
Astrocytes,Definitive erythroblasts (CD36+),neither,-0.7795,-1.0788,-0.6797,-0.9346
Astrocytes,Dermatome,neither,-0.5752,-0.8223,-0.5795,-0.7758
Astrocytes,Dermomyotome,neither,0.0536,-0.2700,1.1267,-0.3295
Astrocytes,Diencephalon,neither,-2.4480,-2.3934,-1.6861,-2.0734
Astrocytes,Dorsal root ganglion neurons,neither,0.3031,-0.2840,-0.5288,-0.0821
Astrocytes,Dorsal telencephalon,neither,-1.4225,-1.7441,-0.6282,-1.3799
Astrocytes,Early chondrocytes,neither,-0.5980,-0.8180,-0.4370,-0.7095
Astrocytes,Endocardial cells,neither,-0.9262,-1.0472,-1.0247,-0.8020
Astrocytes,Endothelium,neither,-0.7596,-1.0060,-0.4926,-0.8931
Astrocytes,Enteric neurons,neither,0.1064,-1.4391,0.7521,-0.4050
Astrocytes,Eye field,neither,-2.2047,-2.1595,-1.5244,-1.7794
Astrocytes,Facial mesenchyme,neither,-0.7826,-0.8047,-0.7287,-0.6828
Astrocytes,Fibroblasts,neither,-0.7058,-0.5964,-0.6127,-0.5244
Astrocytes,First heart field,neither,0.1179,-0.6471,0.4578,-0.4644
Astrocytes,Floorplate and p3 domain,K15_only,1.2660,-0.3262,1.4846,-0.1048
Astrocytes,GABAergic cortical interneurons,neither,-1.2926,-0.7899,-1.1002,-0.7045
Astrocytes,GABAergic neurons,K15_only,0.3731,-0.5794,0.4634,-0.4907
Astrocytes,Glutamatergic neurons,neither,-0.0498,-0.5401,0.0458,-0.4683
Astrocytes,Granular keratinocytes,neither,-1.1255,-1.2554,-0.3142,-0.9797
Astrocytes,Hematopoietic stem cells (Cd34+),neither,-2.9329,-2.8990,-2.4875,-2.6700
Astrocytes,Hematopoietic stem cells (Mpo+),neither,-2.6705,-3.1342,-1.9909,-2.3231
Astrocytes,Hepatocytes,neither,-2.3600,-2.6549,-2.6817,-2.5811
Astrocytes,Hindbrain,neither,-0.3393,-0.9957,-0.1775,-0.8812
Astrocytes,Hypothalamus,neither,-0.8704,-1.6651,-0.7395,-1.3131
Astrocytes,Hypothalamus (Sim1+),neither,0.0663,-0.6671,0.1833,-0.2744
Astrocytes,Intermediate neuronal progenitors,neither,-1.4741,-1.6651,-1.1787,-1.5206
Astrocytes,Kupffer cells,neither,-2.0680,-2.6357,-2.0184,-2.1557
Astrocytes,Lateral plate and intermediate mesoderm,neither,-1.0125,-0.8049,-1.0299,-0.7411
Astrocytes,Limb mesenchyme progenitors,neither,-1.0229,-1.0540,-1.0971,-0.9599
Astrocytes,Liver sinusoidal endothelial cells,neither,-1.2324,-1.4540,-0.8710,-1.1060
Astrocytes,Lung progenitor cells,neither,-2.1103,-2.2598,-1.8148,-2.6284
Astrocytes,Lymphatic vessel endothelial cells,neither,-0.6525,-0.9776,-0.3995,-0.8794
Astrocytes,Mast cells,neither,-3.8109,-2.7726,-2.1496,-2.1355
Astrocytes,Megakaryocytes,neither,-2.1403,-2.6737,-2.1903,-2.4288
Astrocytes,Melanocyte cells,neither,0.0246,-0.7667,-0.2203,-0.4176
Astrocytes,Metanephric mesenchyme,neither,-1.4739,-1.9793,-1.2221,-1.9135
Astrocytes,Microglia,neither,-1.5550,-2.3121,-0.2941,-1.4050
Astrocytes,Midbrain,neither,-1.7935,-1.4795,-1.6782,-1.4023
Astrocytes,Midbrain-hindbrain boundary,neither,-0.6182,-1.2282,-2.2831,-1.1466
Astrocytes,Midgut/Hindgut epithelial cells,neither,-1.0763,-1.6492,-0.3750,-1.3577
Astrocytes,Monocytes,neither,-1.5001,-2.6619,-2.1786,-1.8605
Astrocytes,Muscle progenitor cells,neither,-0.2249,-0.2705,0.8920,-0.0011
Astrocytes,Myelinating Schwann cells,neither,-0.3728,-0.9832,-0.3766,-0.9591
