"blastomere","rank","size","blast"
"B1",542,227,"Blastomere A"
"B1",543,226,"Blastomere A"
"B1",544,223,"Blastomere A"
"B1",545,220,"Blastomere A"
"B1",546,219,"Blastomere A"
"B1",547,218,"Blastomere A"
"B1",548,218,"Blastomere A"
"B1",549,218,"Blastomere A"
"B1",550,218,"Blastomere A"
"B1",551,217,"Blastomere A"
"B1",552,217,"Blastomere A"
"B1",553,215,"Blastomere A"
"B1",554,215,"Blastomere A"
"B1",555,215,"Blastomere A"
"B1",556,215,"Blastomere A"
"B1",557,214,"Blastomere A"
"B1",558,213,"Blastomere A"
"B1",559,213,"Blastomere A"
"B1",560,213,"Blastomere A"
"B1",561,213,"Blastomere A"
"B1",562,210,"Blastomere A"
"B1",563,210,"Blastomere A"
"B1",564,209,"Blastomere A"
"B1",565,209,"Blastomere A"
"B1",566,208,"Blastomere A"
"B1",567,207,"Blastomere A"
"B1",568,207,"Blastomere A"
"B1",569,207,"Blastomere A"
"B1",570,207,"Blastomere A"
"B1",571,207,"Blastomere A"
"B1",572,207,"Blastomere A"
"B1",573,206,"Blastomere A"
"B1",574,205,"Blastomere A"
"B1",575,204,"Blastomere A"
"B1",576,203,"Blastomere A"
"B1",577,203,"Blastomere A"
"B1",578,202,"Blastomere A"
"B1",579,202,"Blastomere A"
"B1",580,202,"Blastomere A"
"B1",581,202,"Blastomere A"
"B1",582,202,"Blastomere A"
"B1",583,202,"Blastomere A"
"B1",584,201,"Blastomere A"
"B1",585,201,"Blastomere A"
"B1",586,201,"Blastomere A"
"B1",587,200,"Blastomere A"
"B1",588,200,"Blastomere A"
"B1",589,200,"Blastomere A"
"B1",590,199,"Blastomere A"
"B1",591,199,"Blastomere A"
"B1",592,198,"Blastomere A"
"B1",593,198,"Blastomere A"
"B1",594,197,"Blastomere A"
"B1",595,197,"Blastomere A"
"B1",596,197,"Blastomere A"
"B1",597,197,"Blastomere A"
"B1",598,196,"Blastomere A"
"B1",599,195,"Blastomere A"
"B1",600,195,"Blastomere A"
"B1",601,195,"Blastomere A"
"B1",602,193,"Blastomere A"
"B1",603,193,"Blastomere A"
"B1",604,193,"Blastomere A"
"B1",605,193,"Blastomere A"
"B1",606,192,"Blastomere A"
"B1",607,191,"Blastomere A"
"B1",608,191,"Blastomere A"
"B1",609,190,"Blastomere A"
"B1",610,190,"Blastomere A"
"B1",611,189,"Blastomere A"
"B1",612,189,"Blastomere A"
"B1",613,188,"Blastomere A"
"B1",614,188,"Blastomere A"
"B1",615,188,"Blastomere A"
"B1",616,187,"Blastomere A"
"B1",617,187,"Blastomere A"
"B1",618,186,"Blastomere A"
"B1",619,186,"Blastomere A"
"B1",620,185,"Blastomere A"
"B1",621,185,"Blastomere A"
"B1",622,185,"Blastomere A"
"B1",623,185,"Blastomere A"
"B1",624,184,"Blastomere A"
"B1",625,183,"Blastomere A"
"B1",626,183,"Blastomere A"
"B1",627,182,"Blastomere A"
"B1",628,180,"Blastomere A"
"B1",629,179,"Blastomere A"
"B1",630,179,"Blastomere A"
"B1",631,178,"Blastomere A"
"B1",632,178,"Blastomere A"
"B1",633,177,"Blastomere A"
"B1",634,177,"Blastomere A"
"B1",635,176,"Blastomere A"
"B1",636,176,"Blastomere A"
"B1",637,176,"Blastomere A"
"B1",638,175,"Blastomere A"
"B1",639,174,"Blastomere A"
"B1",640,174,"Blastomere A"
"B1",641,174,"Blastomere A"
"B1",642,174,"Blastomere A"
"B1",643,174,"Blastomere A"
"B1",644,173,"Blastomere A"
"B1",645,173,"Blastomere A"
"B1",646,173,"Blastomere A"
"B1",647,172,"Blastomere A"
"B1",648,172,"Blastomere A"
"B1",649,172,"Blastomere A"
"B1",650,171,"Blastomere A"
"B1",651,170,"Blastomere A"
"B1",652,170,"Blastomere A"
"B1",653,170,"Blastomere A"
"B1",654,169,"Blastomere A"
"B1",655,168,"Blastomere A"
"B1",656,168,"Blastomere A"
"B1",657,167,"Blastomere A"
"B1",658,167,"Blastomere A"
"B1",659,165,"Blastomere A"
"B1",660,164,"Blastomere A"
"B1",661,164,"Blastomere A"
"B1",662,164,"Blastomere A"
"B1",663,163,"Blastomere A"
"B1",664,163,"Blastomere A"
"B1",665,161,"Blastomere A"
"B1",666,161,"Blastomere A"
"B1",667,160,"Blastomere A"
"B1",668,159,"Blastomere A"
"B1",669,159,"Blastomere A"
"B1",670,158,"Blastomere A"
"B1",671,158,"Blastomere A"
"B1",672,157,"Blastomere A"
"B1",673,157,"Blastomere A"
"B1",674,156,"Blastomere A"
"B1",675,156,"Blastomere A"
"B1",676,156,"Blastomere A"
"B1",677,155,"Blastomere A"
"B1",678,155,"Blastomere A"
"B1",679,154,"Blastomere A"
"B1",680,154,"Blastomere A"
"B1",681,154,"Blastomere A"
"B1",682,153,"Blastomere A"
"B1",683,153,"Blastomere A"
"B1",684,152,"Blastomere A"
"B1",685,151,"Blastomere A"
"B1",686,151,"Blastomere A"
"B1",687,150,"Blastomere A"
"B1",688,150,"Blastomere A"
"B1",689,150,"Blastomere A"
"B1",690,149,"Blastomere A"
"B1",691,149,"Blastomere A"
"B1",692,149,"Blastomere A"
"B1",693,148,"Blastomere A"
"B1",694,148,"Blastomere A"
"B1",695,148,"Blastomere A"
"B1",696,147,"Blastomere A"
"B1",697,146,"Blastomere A"
"B1",698,144,"Blastomere A"
"B1",699,144,"Blastomere A"
"B1",700,142,"Blastomere A"
"B1",701,141,"Blastomere A"
"B1",702,141,"Blastomere A"
"B1",703,141,"Blastomere A"
"B1",704,141,"Blastomere A"
"B1",705,141,"Blastomere A"
"B1",706,140,"Blastomere A"
"B1",707,140,"Blastomere A"
"B1",708,140,"Blastomere A"
"B1",709,140,"Blastomere A"
"B1",710,138,"Blastomere A"
"B1",711,138,"Blastomere A"
