"founder","celltype","log2fc","n_cells","type_n","founder_n","blast"
"f506","B_cells",NA,0,130,15,"B1"
"f507","B_cells",NA,0,130,10,"B1"
"f508","B_cells",NA,0,130,30,"B1"
"f509","B_cells",NA,0,130,10,"B2"
"f510","B_cells",NA,0,130,68,"B2"
"f511","B_cells",NA,0,130,57,"B1"
"f512","B_cells",NA,0,130,58,"B1"
"f513","B_cells",NA,0,130,26,"B1"
"f514","B_cells",NA,0,130,24,"B2"
"f515","B_cells",NA,0,130,24,"B1"
"f516","B_cells",NA,0,130,23,"B1"
"f517","B_cells",NA,0,130,23,"B1"
"f518","B_cells",NA,0,130,22,"B2"
"f519","B_cells",NA,0,130,22,"B2"
"f520","B_cells",NA,0,130,21,"B1"
"f521","B_cells",NA,0,130,21,"B2"
"f522","B_cells",NA,0,130,21,"B2"
"f523","B_cells",NA,0,130,20,"B1"
"f524","B_cells",NA,0,130,99,"B1"
"f525","B_cells",NA,0,130,366,"B2"
"f526","B_cells",NA,0,130,18,"B1"
"f527","B_cells",NA,0,130,18,"B1"
"f528","B_cells",NA,0,130,53,"B2"
"f529","B_cells",NA,0,130,102,"B2"
"f530","B_cells",NA,0,130,17,"B2"
"f531","B_cells",NA,0,130,33,"B2"
"f532","B_cells",NA,0,130,392,"B1"
"f533","B_cells",NA,0,130,32,"B2"
"f534","B_cells",NA,0,130,31,"B1"
"f535","B_cells",NA,0,130,77,"B2"
"f536","B_cells",NA,0,130,674,"B1"
"f537","B_cells",NA,0,130,15,"B2"
"f538","B_cells",NA,0,130,15,"B1"
"f539","B_cells",NA,0,130,15,"B2"
"f540","B_cells",NA,0,130,15,"B2"
"f541","B_cells",NA,0,130,192,"B2"
"f542","B_cells",NA,0,130,29,"B1"
"f543","B_cells",NA,0,130,14,"B1"
"f544","B_cells",NA,0,130,14,"B2"
"f545","B_cells",NA,0,130,153,"B1"
"f546","B_cells",NA,0,130,13,"B2"
"f547","B_cells",NA,0,130,26,"B2"
"f548","B_cells",NA,0,130,26,"B2"
"f549","B_cells",NA,0,130,13,"B2"
"f550","B_cells",NA,0,130,25,"B2"
"f551","B_cells",NA,0,130,86,"B2"
"f552","B_cells",NA,0,130,110,"B1"
"f553","B_cells",NA,0,130,12,"B1"
"f554","B_cells",NA,0,130,24,"B1"
"f555","B_cells",NA,0,130,72,"B2"
"f556","B_cells",NA,0,130,36,"B2"
"f557","B_cells",NA,0,130,47,"B1"
"f558","B_cells",NA,0,130,46,"B1"
"f559","B_cells",NA,0,130,739,"B1"
"f560","B_cells",NA,0,130,45,"B1"
